MIN,AVG,MAX,CURRENT
21.21%,30.71%,37.86%,29.43%
22.43%,32.14%,42.0%,41.57%
32.79%,47.64%,59.43%,59.43%
31.43%,41.36%,54.79%,49.29%
40.75%,52.38%,64.5%,46.12%
25.25%,49.25%,77.62%,55.38%
27.33%,33.67%,43.42%,32.67%
12.58%,31.58%,50.5%,18.42%
34.83%,34.02%,33.71%,34.18%
34.68%,33.59%,33.0%,33.18%
0.46%,3.2%,28.3%,9.03%
0.28%,2.8%,20.78%,1.95%
1.97%,8.66%,30.83%,9.18%
2.06%,16.18%,56.34%,12.29%
13.88%,33.88%,58.82%,35.03%
1.77%,11.47%,50.94%,14.59%
12.12%,31.09%,57.51%,30.07%
1.37%,11.13%,54.28%,12.12%
27.25%,57.16%,97.6%,66.88%
21.46%,57.26%,97.03%,61.09%
5,5,5,5
1,1,2,2
2,3,5,5
1,1,1,1
2,2,2,2
0,25,715,75
0,17,472,76
0,17,478,0
0,24,448,0
